xValue, yValue, zValue ,Button,xGyro, yGyro, zGyro 
-0.44995117,-9.921875,3.3300781,21,0.9794922,0.27197266,-0.24365234
-0.87109375,-9.1796875,2.7382812,21,-0.33740234,-0.10986328,0.14782715
-0.35888672,-7.8203125,3.5039062,21,0.6923828,0.3112793,-0.28930664
-0.78271484,-9.90625,2.3710938,21,-1.0009766,-0.37573242,0.22229004
-0.4165039,-7.9726562,3.4804688,21,1.0712891,0.3540039,-0.23950195
-0.84033203,-9.1875,2.6796875,21,-0.22583008,-0.14501953,0.1595459
-0.6269531,-8.4140625,4.3398438,21,0.29858398,0.18054199,-0.16491699
-0.7158203,-9.4453125,2.3066406,21,-0.6479492,-0.36621094,0.23937988
-0.57421875,-8.0078125,4.0351562,21,0.28271484,0.18798828,-0.13195801
-0.8066406,-9.2734375,2.3046875,21,-0.75146484,-0.3864746,0.2680664
-0.48583984,-8.8984375,3.4726562,21,0.67871094,0.3774414,-0.23413086
-0.8569336,-9.3125,2.4960938,21,-0.61279297,-0.3864746,0.30322266
-0.7011719,-7.6445312,4.3476562,21,0.32836914,0.34765625,-0.17346191
-0.8833008,-9.3671875,2.8847656,21,-0.4099121,-0.22058105,0.14355469
-0.5288086,-7.6367188,4.6132812,21,0.38378906,0.28466797,-0.15649414
-0.8378906,-9.9296875,2.4238281,21,-0.49926758,-0.3725586,0.26586914
-0.5625,-8.796875,4.4921875,21,0.71484375,0.38061523,-0.2319336
-0.828125,-9.53125,1.9941406,21,-0.7324219,-0.40893555,0.27124023
-0.4189453,-8.5546875,3.9355469,21,1.0966797,0.4423828,-0.1862793
-0.84716797,-9.0703125,3.1074219,21,-0.5180664,-0.27270508,0.19677734
-0.5913086,-8.1015625,4.3632812,21,0.6303711,0.2890625,-0.1862793
-0.9790039,-9.1796875,2.7753906,21,-0.68115234,-0.38549805,0.2541504
-0.63671875,-8.78125,4.0234375,21,0.39331055,0.27954102,-0.20544434
-0.90966797,-9.09375,3.1015625,21,-0.5991211,-0.33642578,0.27124023
-0.5,-9.109375,3.7578125,21,0.27954102,0.25927734,-0.18725586
-0.89746094,-9,2.9277344,21,-0.50341797,-0.3684082,0.2626953
-0.7348633,-8.4921875,4.4375,21,0.061462402,0.11566162,-0.1340332
-0.9526367,-9.375,2.90625,21,-0.47680664,-0.2980957,0.2626953
-0.7919922,-8.2890625,4.140625,21,0.11462402,0.13378906,-0.11816406
-1.0263672,-9.328125,2.9121094,21,-0.34057617,-0.31298828,0.31152344
-0.7919922,-7.7109375,4.03125,21,0.0859375,0.11248779,-0.14575195
-0.9716797,-9.3046875,2.9335938,21,-0.35668945,-0.3322754,0.27001953
-0.9814453,-8.4765625,3.5,21,0.03378296,0.045440674,-0.09899902
-1.0507812,-9.125,3.015625,21,-0.53515625,-0.30566406,0.21057129
-0.7421875,-8.3984375,4.0195312,21,0.21252441,0.12524414,-0.16064453
-0.8569336,-8.9453125,3.6933594,21,-0.30566406,-0.27905273,0.24890137
-0.9790039,-8.0078125,3.96875,21,-0.010894775,0.074157715,-0.095825195
-0.8208008,-9.390625,3.3164062,21,-0.37475586,-0.2578125,0.20532227
-0.9550781,-8.46875,3.8085938,21,0.05718994,0.09649658,-0.095825195
-0.81640625,-9.1171875,3.140625,21,-0.48339844,-0.28637695,0.22546387
-0.90966797,-9.625,3.0761719,21,-0.06726074,0.03479004,-0.043670654
-0.8520508,-8.9140625,3.1113281,21,-0.26831055,-0.103515625,0.109558105
-1.0693359,-9.3828125,2.7421875,21,-0.054504395,-0.015197754,-0.013885498
-0.53125,-9.578125,3.5175781,21,0.37841797,0.14221191,-0.08514404
-0.9863281,-9.4921875,2.8105469,21,-0.030044556,-3.01E-04,0.006328583
-0.51953125,-8.78125,3.8007812,21,0.73828125,0.27197266,-0.26171875
-0.84716797,-9.2265625,2.8359375,21,-0.55029297,-0.25976562,0.21374512
-0.8041992,-8.7890625,3.7753906,21,0.06994629,-0.017318726,-0.01600647
-0.9765625,-9.28125,3.2480469,21,-0.38208008,-0.1184082,0.02973938
-0.72021484,-9.703125,3.21875,21,0.014633179,0.009269714,-0.02558899
-0.81396484,-9.5703125,2.7695312,21,-0.11199951,-0.026901245,0.012710571
-0.8183594,-8.8671875,3.4511719,21,0.16894531,0.040130615,-0.028778076
-0.78271484,-9.046875,2.8359375,21,-0.47045898,-0.10028076,-0.013885498
-0.7753906,-9.7734375,3.2363281,21,0.001869202,0.006080627,-0.013885498
-0.8354492,-8.96875,3.1074219,21,-0.2692871,-0.06945801,0.026550293
-0.84228516,-9.96875,3.4296875,21,-0.07897949,-0.014129639,0.015899658
-0.8232422,-9.234375,3.09375,21,-0.18432617,-0.026901245,-0.00856781
-0.7324219,-10.1171875,2.71875,21,-0.10876465,-0.029022217,0.02973938
-0.80908203,-9.1875,3.0820312,21,-0.15344238,-0.019454956,-0.060699463
-0.7636719,-10.2109375,2.8027344,21,-0.014091492,-0.00774765,0.07867432
-0.81152344,-9.2890625,3.1191406,21,-0.10876465,-0.008811951,0.002073288
-0.8041992,-10.4140625,2.7714844,21,-0.09283447,-0.032226562,0.05102539
-0.84716797,-9.609375,2.6542969,21,-0.30126953,-0.091796875,0.038238525
-0.74902344,-10.4609375,2.3457031,21,0.1315918,0.035858154,-0.053253174
-0.69384766,-9.125,3.1640625,21,-0.16723633,-0.04711914,-0.03729248
-0.8354492,-9.5703125,2.6445312,21,-0.053466797,-0.0524292,0.04888916
